year,total,female,male,AI/AN,Asian,Black,Hispanic,NHOPI,White,Multiple Race
1991,0.147,0.125,0.167,,0.057,0.135,0.144,,0.152,
1993,0.177,0.146,0.206,0.174,0.088,0.186,0.194,,0.173,
1995,0.253,0.220,0.284,,0.128,0.286,0.278,,0.245,
1997,0.262,0.214,0.302,0.442,0.110,0.282,0.286,,0.250,
1999,0.267,0.226,0.308,,0.135,0.264,0.282,0.338,0.264,0.291
2001,0.239,0.200,0.279,0.364,0.109,0.218,0.246,0.219,0.244,0.318
2003,0.224,0.193,0.251,0.328,0.095,0.239,0.238,,0.217,0.283
2005,0.202,0.182,0.221,0.303,0.067,0.204,0.230,,0.203,0.169
2007,0.197,0.170,0.224,0.274,0.094,0.215,0.185,,0.199,0.205
2009,0.208,0.179,0.234,0.316,0.075,0.222,0.216,0.248,0.207,0.217
2011,0.231,0.201,0.259,0.474,0.136,0.251,0.244,0.311,0.217,0.268
2013,0.234,0.219,0.250,0.355,0.164,0.289,0.276,0.234,0.204,0.288
2015,0.217,0.201,0.232,0.269,0.082,0.271,0.245,,0.199,0.235
2017,0.198,0.196,0.200,0.297,0.073,0.253,0.234,0.161,0.177,0.203
